"Connector,FPL90-1 & -2 AK2 SL,Per Piece,"
"Connector,FPL 180-1 AK2 SL,Per Piece,"
"Connector,FOL180-1 ABX5 SL,Per Piece,0.5436738"
"Connector,FPB90-5/AK2 CPA,Per Piece,0.37988"
"Connector,FPB180-5/AK2 CPA,Per Piece,0.43988"
"Connector,FOL 90-1 ABX5 SL,Per Piece,0.4225638"
"Twisted Cable w/o Cu,FLRY-A 2x0.35 M3130,USD/M,0.17988"
"UnTwisted Cable w/o Cu,FLRY-A 2x0.35 M3130,USD/M,0.15988"
"Twisted Cable w/o Cu,FLRY-A 2x0.35 M6502,USD/M,0.17988"
"UnTwisted Cable w/o Cu,FLRY-A 2x0.35 M6502,USD/M,0.15988"
"Twisted Cable w/o Cu,FLRY-A 2x0.5 M3130,USD/M,0.19488"
"UnTwisted Cable w/o Cu,FLRY-A 2x0.5 M3130,USD/M,0.17488"
"Twisted Cable w/o Cu,FLRY-A 2x0.75 M3130,USD/M,0.21288"
"UnTwisted Cable w/o Cu,FLRY-A 2x0.75 M3130,USD/M,0.19288"
"Twisted Cable w/o Cu,FLRY-A 2x0.35 M3345,USD/M,0.19988"
"UnTwisted Cable w/o Cu,FLRY-A 2x0.35 M3345,USD/M,0.17988"
"Twisted Cable w/o Cu,FLRY-A 2x0.5 M3345,USD/M,0.21488"
"UnTwisted Cable w/o Cu,FLRY-A 2x0.5 M3345,USD/M,0.19488"
"Twisted Cable w/o Cu,FLRY-A 2x0.75 M3345,USD/M,0.23288"
"UnTwisted Cable w/o Cu,FLRY-A 2x0.75 M3345,USD/M,0.21288"
"Length Adder,1000mm,Additive,0"
"Length Adder,2000mm,Additive,0"
"Length Adder,3000mm,Additive,0"
"Length Adder,4000mm,Additive,0"
"Length Adder,5000mm,Additive,0.05505"
"Length Adder,6000mm,Additive,0.06606"
"Length Adder,7000mm,Additive,0.07707"
"Length Adder,8000mm,Additive,0.17616"
"Length Adder,9000mm,Additive,0.19818"
"Terminal,15448539,Per pair,0.1175"
"Terminal,15448540,Per pair,0.11198"
"Terminal,35039876,Per pair,0.088851568"
